review_id,date,rating,review_text
REV-1045,2026-08-09,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1046,2026-06-05,5,Absolutely love this app! The new update is incredibly fast.
REV-1047,2026-08-29,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1048,2026-06-30,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1049,2026-06-14,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1050,2026-08-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1051,2026-06-21,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1052,2026-07-25,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1053,2026-06-29,5,Absolutely love this app! The new update is incredibly fast.
REV-1054,2026-07-01,5,The performance improvements are incredible. It loads instantly now.
REV-1055,2026-08-15,5,The performance improvements are incredible. It loads instantly now.
REV-1056,2026-07-12,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1057,2026-07-15,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1058,2026-06-15,5,Absolutely love this app! The new update is incredibly fast.
REV-1059,2026-06-17,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1060,2026-06-04,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1061,2026-07-17,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1062,2026-08-27,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1063,2026-06-18,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1064,2026-06-13,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1065,2026-06-02,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1066,2026-07-15,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1067,2026-07-30,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1068,2026-08-26,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1069,2026-08-19,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1070,2026-07-10,5,The performance improvements are incredible. It loads instantly now.
REV-1071,2026-07-02,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1072,2026-07-01,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1073,2026-08-03,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1074,2026-07-09,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1075,2026-07-17,5,The performance improvements are incredible. It loads instantly now.
REV-1076,2026-07-10,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1077,2026-06-17,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1078,2026-07-28,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1079,2026-07-22,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1080,2026-07-17,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1081,2026-06-21,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1082,2026-07-11,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1083,2026-06-05,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1084,2026-06-18,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1085,2026-06-29,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1086,2026-06-17,5,The performance improvements are incredible. It loads instantly now.
REV-1087,2026-07-06,5,Absolutely love this app! The new update is incredibly fast.
REV-1088,2026-07-29,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1089,2026-06-03,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1090,2026-08-05,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1091,2026-08-27,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1092,2026-07-28,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1093,2026-07-08,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1094,2026-07-06,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1095,2026-07-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1096,2026-07-19,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1097,2026-07-22,5,The performance improvements are incredible. It loads instantly now.
REV-1098,2026-08-11,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1099,2026-06-23,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1100,2026-07-27,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1101,2026-08-20,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1102,2026-08-13,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1103,2026-06-05,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1104,2026-06-20,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1105,2026-08-18,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1106,2026-08-28,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1107,2026-08-19,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1108,2026-08-02,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1109,2026-07-25,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1110,2026-08-11,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1111,2026-07-03,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1112,2026-08-23,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1113,2026-08-01,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1114,2026-06-29,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1115,2026-08-14,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1116,2026-08-08,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1117,2026-06-18,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1118,2026-08-24,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1119,2026-08-13,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1120,2026-07-11,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1121,2026-06-23,5,The performance improvements are incredible. It loads instantly now.
REV-1122,2026-07-04,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1123,2026-08-21,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1124,2026-06-17,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1125,2026-06-09,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1126,2026-06-24,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1127,2026-07-29,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1128,2026-07-02,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1129,2026-08-09,5,The performance improvements are incredible. It loads instantly now.
REV-1130,2026-06-16,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1131,2026-07-28,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1132,2026-06-28,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1133,2026-06-13,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1134,2026-06-15,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1135,2026-06-24,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1136,2026-08-15,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1137,2026-06-21,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1138,2026-07-17,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1139,2026-08-20,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1140,2026-08-12,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1141,2026-06-17,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1142,2026-08-17,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1143,2026-08-10,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1144,2026-07-16,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1145,2026-06-14,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1146,2026-07-10,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1147,2026-07-11,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1148,2026-08-08,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1149,2026-07-14,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1150,2026-07-27,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1151,2026-08-13,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1152,2026-06-22,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1153,2026-06-13,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1154,2026-06-09,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1155,2026-08-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1156,2026-08-22,5,The performance improvements are incredible. It loads instantly now.
REV-1157,2026-08-29,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1158,2026-07-06,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1159,2026-08-27,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1160,2026-08-24,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1161,2026-08-12,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1162,2026-06-17,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1163,2026-07-17,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1164,2026-06-11,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1165,2026-06-28,5,Absolutely love this app! The new update is incredibly fast.
REV-1166,2026-08-18,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1167,2026-07-20,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1168,2026-07-26,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1169,2026-07-23,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1170,2026-07-08,5,The performance improvements are incredible. It loads instantly now.
REV-1171,2026-08-01,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1172,2026-06-11,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1173,2026-08-02,5,Absolutely love this app! The new update is incredibly fast.
REV-1174,2026-07-14,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1175,2026-08-01,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1176,2026-07-15,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1177,2026-08-07,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1178,2026-07-24,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1179,2026-07-06,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1180,2026-07-11,5,The performance improvements are incredible. It loads instantly now.
REV-1181,2026-08-29,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1182,2026-06-29,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1183,2026-07-07,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1184,2026-07-19,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1185,2026-07-25,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1186,2026-07-01,5,The performance improvements are incredible. It loads instantly now.
REV-1187,2026-08-22,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1188,2026-07-04,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1189,2026-07-18,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1190,2026-06-17,5,Absolutely love this app! The new update is incredibly fast.
REV-1191,2026-07-13,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1192,2026-07-21,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1193,2026-07-13,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1194,2026-07-09,5,The performance improvements are incredible. It loads instantly now.
REV-1195,2026-08-17,5,Absolutely love this app! The new update is incredibly fast.
REV-1196,2026-06-30,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1197,2026-06-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1198,2026-07-18,5,Absolutely love this app! The new update is incredibly fast.
REV-1199,2026-08-29,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1200,2026-07-13,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1201,2026-07-15,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1202,2026-07-02,5,Absolutely love this app! The new update is incredibly fast.
REV-1203,2026-07-10,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1204,2026-07-11,5,Absolutely love this app! The new update is incredibly fast.
REV-1205,2026-08-14,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1206,2026-07-01,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1207,2026-07-20,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1208,2026-07-16,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1209,2026-07-08,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1210,2026-07-28,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1211,2026-08-18,5,Absolutely love this app! The new update is incredibly fast.
REV-1212,2026-06-23,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1213,2026-06-07,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1214,2026-07-01,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1215,2026-06-01,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1216,2026-08-07,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1217,2026-08-07,5,Absolutely love this app! The new update is incredibly fast.
REV-1218,2026-07-08,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1219,2026-07-09,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1220,2026-08-04,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1221,2026-08-14,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1222,2026-08-12,5,Absolutely love this app! The new update is incredibly fast.
REV-1223,2026-07-15,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1224,2026-07-09,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1225,2026-07-18,5,Absolutely love this app! The new update is incredibly fast.
REV-1226,2026-06-11,5,Absolutely love this app! The new update is incredibly fast.
REV-1227,2026-07-30,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1228,2026-07-06,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1229,2026-08-10,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1230,2026-07-31,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1231,2026-07-15,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1232,2026-08-21,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1233,2026-07-09,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1234,2026-08-25,5,Absolutely love this app! The new update is incredibly fast.
REV-1235,2026-07-19,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1236,2026-06-26,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1237,2026-06-22,5,Absolutely love this app! The new update is incredibly fast.
REV-1238,2026-06-07,5,Absolutely love this app! The new update is incredibly fast.
REV-1239,2026-06-28,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1240,2026-08-22,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1241,2026-08-26,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1242,2026-08-29,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1243,2026-06-01,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1244,2026-08-29,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1245,2026-07-20,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1246,2026-07-13,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1247,2026-07-21,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1248,2026-06-27,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1249,2026-07-13,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1250,2026-06-04,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1251,2026-08-24,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1252,2026-06-09,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1253,2026-08-10,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1254,2026-06-02,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1255,2026-06-06,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1256,2026-08-06,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1257,2026-07-12,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1258,2026-06-13,5,Absolutely love this app! The new update is incredibly fast.
REV-1259,2026-08-22,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1260,2026-08-08,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1261,2026-07-14,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1262,2026-06-21,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1263,2026-08-09,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1264,2026-07-24,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1265,2026-06-08,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1266,2026-06-15,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1267,2026-08-18,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1268,2026-06-25,5,The performance improvements are incredible. It loads instantly now.
REV-1269,2026-08-26,5,The performance improvements are incredible. It loads instantly now.
REV-1270,2026-07-15,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1271,2026-08-18,5,The performance improvements are incredible. It loads instantly now.
REV-1272,2026-08-14,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1273,2026-06-11,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1274,2026-08-30,5,Absolutely love this app! The new update is incredibly fast.
REV-1275,2026-06-23,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1276,2026-06-19,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1277,2026-06-06,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1278,2026-06-11,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1279,2026-07-28,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1280,2026-07-17,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1281,2026-07-15,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1282,2026-06-20,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1283,2026-06-22,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1284,2026-08-03,5,The performance improvements are incredible. It loads instantly now.
REV-1285,2026-07-05,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1286,2026-07-05,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1287,2026-07-06,5,The performance improvements are incredible. It loads instantly now.
REV-1288,2026-08-01,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1289,2026-07-16,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1290,2026-08-04,5,Absolutely love this app! The new update is incredibly fast.
REV-1291,2026-06-19,5,Absolutely love this app! The new update is incredibly fast.
REV-1292,2026-07-04,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1293,2026-07-09,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1294,2026-07-24,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1295,2026-06-28,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1296,2026-08-07,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1297,2026-06-16,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1298,2026-06-27,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1299,2026-06-13,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1300,2026-08-28,5,Absolutely love this app! The new update is incredibly fast.
REV-1301,2026-08-23,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1302,2026-08-20,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1303,2026-06-03,5,The performance improvements are incredible. It loads instantly now.
REV-1304,2026-07-21,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1305,2026-08-05,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1306,2026-07-24,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1307,2026-07-20,5,The performance improvements are incredible. It loads instantly now.
REV-1308,2026-07-16,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1309,2026-08-28,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1310,2026-08-07,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1311,2026-07-16,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1312,2026-08-24,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1313,2026-06-09,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1314,2026-06-09,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1315,2026-06-01,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1316,2026-06-09,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1317,2026-07-08,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1318,2026-06-28,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1319,2026-07-02,5,Absolutely love this app! The new update is incredibly fast.
REV-1320,2026-08-25,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1321,2026-06-08,3,"It's an okay app, but I wish there were more options for setting up recurring deposits."
REV-1322,2026-07-13,5,The performance improvements are incredible. It loads instantly now.
REV-1323,2026-08-24,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1324,2026-06-20,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1325,2026-07-15,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1326,2026-07-28,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1327,2026-08-04,2,I was charged a $50 early withdrawal fee without any warning. Unacceptable.
REV-1328,2026-06-09,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1329,2026-07-19,2,Why is there an early withdrawal charge when I moved my funds to a different account?
REV-1330,2026-06-27,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1331,2026-08-16,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1332,2026-06-14,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1333,2026-08-17,1,The app keeps crashing when I try to view my portfolio on my phone.
REV-1334,2026-08-22,5,Absolutely seamless onboarding experience. Highly recommend to everyone!
REV-1335,2026-06-10,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1336,2026-07-03,5,Customer support was amazing when I had an issue. Sarah fixed it instantly!
REV-1337,2026-07-29,4,"Great experience overall, but the charts sometimes take a second to load."
REV-1338,2026-06-19,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1339,2026-07-09,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1340,2026-06-14,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1341,2026-07-17,1,Terrible customer service. Nobody picked up the phone for 2 hours.
REV-1342,2026-06-11,4,UI is intuitive and easy to use. Just wish the dark mode had better contrast.
REV-1343,2026-08-23,3,"Fees are a bit high compared to competitors, but the interface is nice."
REV-1344,2026-08-27,1,Terrible customer service. Nobody picked up the phone for 2 hours.
